iter	MultiClass
0	1.035901297
1	0.9879266103
2	0.9515364934
3	0.923205759
4	0.9013015487
5	0.8840419079
6	0.8697223361
7	0.8582255437
8	0.848329768
9	0.8287972644
10	0.8094907446
11	0.7965892943
12	0.7845519098
13	0.7736503445
14	0.7668918157
15	0.7595970007
16	0.7547043597
17	0.7503975395
18	0.746680159
19	0.7430063835
20	0.7406043205
21	0.7386587471
22	0.7366517076
23	0.7348094461
24	0.7326995591
25	0.7315568313
26	0.7303380532
27	0.7291498235
28	0.7283609951
29	0.7276765055
30	0.7264469332
31	0.7257389081
32	0.7248662839
33	0.7241466123
34	0.7234504073
35	0.7230670162
36	0.7227489873
37	0.7223058283
38	0.7219013073
39	0.7212999414
40	0.720652184
41	0.7201818194
42	0.7200310218
43	0.719534568
44	0.7189763374
45	0.718633443
46	0.7182913045
47	0.7181571233
48	0.7180182976
49	0.7175872208
50	0.7172783776
51	0.717039283
52	0.7166490409
53	0.7165626037
54	0.7163553528
55	0.716287014
56	0.7162250936
57	0.7160049302
58	0.7157111888
59	0.7155299383
60	0.7152889634
61	0.7150626074
62	0.7145823032
63	0.7142893317
64	0.7140818143
65	0.7137139621
66	0.7136970714
67	0.7136056802
68	0.7134602972
69	0.7131776204
70	0.7130419694
71	0.7129101343
72	0.712759925
73	0.7125627285
74	0.7123622008
75	0.712215161
76	0.7120509703
77	0.7116976488
78	0.711634187
79	0.7113414257
80	0.7111262547
81	0.7109245662
82	0.7108463023
83	0.7105624798
84	0.7103293641
85	0.7100744922
86	0.7098838514
87	0.7096683319
88	0.7094065602
89	0.7092107888
90	0.7090288394
91	0.7088319698
92	0.7087352941
93	0.7086480765
94	0.7083003741
95	0.7080089917
96	0.7078411482
97	0.7074081954
98	0.7071947965
99	0.7071360341
100	0.7070081999
101	0.7068045864
102	0.7066187125
103	0.7065517158
104	0.7061612425
105	0.7060797639
106	0.7059588993
107	0.7057023156
108	0.7054273692
109	0.7049999064
110	0.7047766806
111	0.7045634784
112	0.7044785943
113	0.7040865753
114	0.7039112761
115	0.7035864017
116	0.7034415114
117	0.7031713596
118	0.7028511533
119	0.7024270871
120	0.7020265294
121	0.7016215314
122	0.7014331986
123	0.7012693267
124	0.7011125672
125	0.7008824359
126	0.7007857078
127	0.7007259204
128	0.7005436902
129	0.7002063015
130	0.6998992225
131	0.699785518
132	0.6997013596
133	0.699475836
134	0.6991539268
135	0.6987276605
136	0.6985720445
137	0.6982480586
138	0.698106229
139	0.6980044712
140	0.69794313
141	0.697585347
142	0.6974231144
143	0.6972093227
144	0.6970992692
145	0.696947269
146	0.6968126868
147	0.6966701707
148	0.6965624253
149	0.6963388891
150	0.6962435006
151	0.6957666536
152	0.6955739746
153	0.6953774652
154	0.6951406209
155	0.6950547239
156	0.6949487371
157	0.6948317349
158	0.6945920647
159	0.6942342587
160	0.693934211
161	0.6937983987
162	0.6937120274
163	0.6935549024
164	0.6934103236
165	0.6931360311
166	0.6928471854
167	0.6926375772
168	0.6925161123
169	0.6922834782
170	0.6921915898
171	0.6920766942
172	0.6919197077
173	0.6917250006
174	0.6915292322
175	0.6913980656
176	0.6911658639
177	0.6910613338
178	0.6906727567
179	0.6902481464
180	0.6900090441
