iter	Passed	Remaining
0	75	75884
1	121	60651
2	199	66462
3	287	71521
4	350	69703
5	404	67072
6	479	67983
7	557	69170
8	638	70329
9	703	69663
10	772	69480
11	824	67851
12	893	67805
13	952	67111
14	1031	67749
15	1099	67609
16	1173	67877
17	1247	68041
18	1322	68300
19	1396	68422
20	1451	67685
21	1528	67959
22	1600	67970
23	1668	67850
24	1734	67633
25	1813	67927
26	1897	68372
27	1978	68698
28	2064	69141
29	2132	68949
30	2209	69072
31	2292	69356
32	2375	69605
33	2462	69959
34	2541	70077
35	2614	70018
36	2687	69936
37	2777	70305
38	2858	70444
39	2927	70269
40	3004	70277
41	3088	70456
42	3166	70482
43	3250	70625
44	3332	70715
45	3407	70678
46	3494	70862
47	3556	70540
48	3634	70536
49	3700	70318
50	3779	70328
51	3858	70350
52	3982	71162
53	4066	71246
54	4146	71245
55	4175	70389
56	4253	70364
57	4332	70364
58	4413	70391
59	4503	70553
60	4585	70585
61	4678	70776
62	4771	70961
63	4861	71102
64	4935	70992
65	5004	70826
66	5031	70068
67	5101	69915
68	5175	69826
69	5261	69898
70	5339	69865
71	5421	69881
72	5495	69790
73	5577	69787
74	5655	69756
75	5732	69700
76	5819	69763
77	5915	69921
78	6010	70075
79	6107	70235
80	6193	70264
81	6226	69701
82	6306	69670
83	6412	69928
84	6501	69990
85	6586	70003
86	6683	70143
87	6770	70163
88	6852	70138
89	6932	70097
90	7014	70063
91	7100	70075
92	7182	70048
93	7269	70064
94	7354	70060
95	7445	70108
96	7550	70293
97	7631	70245
98	7716	70227
99	7798	70182
100	7883	70168
101	7965	70131
102	8048	70091
103	8140	70135
104	8217	70047
105	8298	69987
106	8384	69978
107	8479	70030
108	8563	70001
109	8660	70071
110	8749	70074
111	8834	70044
112	8913	69970
113	9001	69960
114	9087	69936
115	9169	69878
116	9255	69851
117	9344	69846
118	9425	69779
119	9509	69735
120	9607	69794
121	9687	69716
122	9768	69650
123	9877	69779
124	9961	69733
125	10051	69722
126	10128	69622
127	10210	69560
128	10304	69573
129	10388	69520
130	10478	69508
131	10549	69368
132	10640	69360
133	10731	69351
134	10823	69347
135	10910	69314
136	11011	69363
137	11097	69319
138	11190	69318
139	11313	69498
140	11408	69500
141	11490	69429
142	11590	69463
143	11684	69456
144	11784	69486
145	11888	69540
146	11988	69564
147	12103	69679
148	12220	69793
149	12319	69812
150	12419	69830
151	12525	69876
152	12638	69963
153	12736	69967
154	12831	69952
155	12925	69932
156	13017	69895
157	13106	69844
158	13187	69753
159	13274	69690
160	13357	69610
161	13471	69687
162	13559	69627
163	13651	69586
164	13737	69517
165	13813	69401
166	13901	69340
167	13994	69308
168	14087	69268
169	14191	69285
170	14285	69255
171	14383	69239
172	14462	69137
173	14549	69066
174	14640	69020
175	14732	68973
176	14813	68877
177	14889	68760
178	14984	68727
179	15063	68623
180	15148	68544
181	15227	68439
182	15309	68347
183	15397	68286
184	15502	68293
185	15590	68228
186	15676	68154
187	15780	68157
188	15864	68074
189	15955	68020
190	16042	67950
191	16129	67877
192	16223	67837
193	16311	67768
194	16394	67681
195	16484	67620
196	16572	67552
197	16660	67483
198	16738	67376
199	16836	67344
200	16939	67335
201	17023	67249
202	17105	67158
203	17191	67078
204	17277	67002
205	17360	66913
206	17442	66822
207	17530	66749
208	17614	66666
209	17701	66592
210	17777	66476
211	17867	66411
212	17955	66342
213	18056	66318
214	18145	66251
215	18250	66240
216	18350	66215
217	18447	66172
218	18537	66109
219	18628	66047
220	18723	65997
221	18796	65871
222	18895	65837
223	18981	65756
224	19064	65666
225	19142	65558
226	19224	65465
227	19299	65346
228	19381	65253
229	19467	65175
230	19540	65049
231	19621	64952
232	19713	64893
233	19800	64816
234	19905	64799
235	20026	64830
236	20124	64787
237	20198	64670
238	20282	64580
239	20358	64469
240	20447	64398
241	20523	64284
242	20641	64303
243	20724	64212
244	20807	64122
245	20882	64006
246	20963	63909
247	21043	63809
248	21124	63714
249	21213	63641
250	21294	63545
251	21374	63445
252	21471	63396
253	21557	63314
254	21640	63225
255	21721	63127
256	21819	63082
257	21912	63018
258	22005	62957
259	22094	62885
260	22180	62803
261	22273	62739
262	22375	62701
263	22470	62645
264	22555	62559
265	22637	62465
266	22725	62387
267	22817	62322
268	22900	62231
269	22986	62149
270	23080	62086
271	23167	62007
272	23252	61921
273	23338	61837
274	23422	61750
275	23513	61680
276	23594	61584
277	23682	61506
278	23772	61433
279	23862	61361
280	23942	61261
281	24035	61195
282	24126	61126
283	24210	61036
284	24298	60958
285	24392	60894
286	24519	60914
287	24624	60877
288	24717	60811
289	24825	60780
290	24923	60724
291	25007	60635
292	25103	60573
293	25200	60516
294	25301	60466
295	25402	60416
296	25493	60343
297	25577	60252
298	25682	60212
299	25772	60134
300	25861	60057
301	25952	59984
302	26034	59888
303	26115	59791
304	26213	59732
305	26303	59655
306	26398	59589
307	26492	59521
308	26590	59462
309	26677	59380
310	26761	59288
311	26849	59205
312	26934	59118
313	27019	59030
314	27101	58935
315	27188	58851
316	27268	58752
317	27354	58666
318	27439	58577
319	27532	58506
320	27612	58407
321	27701	58327
322	27793	58255
323	27881	58173
324	27973	58098
325	28068	58031
326	28158	57953
327	28253	57884
328	28361	57844
329	28448	57759
330	28534	57672
331	28617	57580
332	28709	57506
333	28792	57412
334	28875	57320
335	28968	57246
336	29041	57134
337	29132	57057
338	29222	56980
339	29309	56895
340	29399	56815
341	29506	56769
342	29591	56680
343	29669	56579
